Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,82.655,81.858,81.042,80.201,79.346,78.43,77.447,77.677,77.879,78.159,78.422,78.565,78.701,78.839,78.938,79.489,79.924,80.093,80.045,79.741,78.546,79.094,79.104,78.801
Burundi,BDI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,73.3300018310547,..,..,..,..,..,..,..,61.7400016784668,..,74.46,..,..,..,79.5599975585938,..,84.3600006103516,88.2200012207031,..,..,88.3979336343743,..,..,..
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.04381449833197,8.24107308668089,8.45108277415092,8.67614339385788,8.9185547789176,9.1806167624459,9.4646291775586,9.77289185737152,10.1064353383035,10.4979900434482,10.9843097335487,11.5616652230006,12.2244596804615,12.9670962745892,13.7839781740413,14.6695085474754,15.6180905635494,16.6241273909209,17.6820221982475,18.786178154187,19.9309984273971,21.1108861865354,22.3202446002597,23.5534768372276
Burundi,BDI,Population growth (annual %),SP.POP.GROW,2.07761630416467,2.50568660000274,2.82021948884885,3.15909277106132,3.72769286109058,3.71426552783148,3.6016417629351,3.69817167466282,4.12553206908571,5.06613607694958,4.68101057302388,3.57769854786004,3.56852147814432,3.59186709345175,3.39447686677984,2.26851729292704,1.72186004024144,2.35048627086438,3.01898182778662,3.28367531420808,2.9086530249822,2.72425539520386,2.70585008916716,2.72764441044431
Ethiopia,ETH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.499,3.16,3.054,3.008,2.776,2.497,2.337,2.337,2.326,2.326,2.295,2.27,2.252,2.251,2.361,2.442,2.556,2.665,2.811,2.928,3.998,3.935,3.386,3.375
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.07321748125295,8.30130632267965,1.51472570667433,-2.16135972256865,13.5726031401471,11.8187659491625,10.8347270679373,11.4561670019891,10.7885216870332,8.8025531990487,12.5505383347633,11.1782962297008,8.64781163513926,10.5822700502552,10.2574929627477,10.3924630141307,9.43348265981905,9.56418965754014,6.81614778557282,8.36408573111346,6.05953089248577,5.64153069324176,5.32175988485454,6.59424599054353
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,122.269202606069,118.457204255261,109.593813612988,116.800491132777,133.169812538096,158.243458082465,189.345737521418,237.146255996319,316.410475118075,368.574712267445,330.619412798644,343.024942351887,452.101031885754,484.039833104062,549.986577082588,597.912113218663,641.651523286233,696.348429076216,739.702022272086,793.473247218996,829.790982552951,893.009835441784,982.103161502198,1055.81091593061
Ethiopia,ETH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.662458109266482,-8.23784453391137,0.675089102170801,13.6740452028272,3.32737047894847,9.96997123512892,12.2994763114825,17.2404008340898,44.3566858766952,8.48364404530282,8.14926402965082,33.2499598823344,23.600417677317,7.46402192944517,6.89001951597192,9.56889955968623,6.62813337230924,10.6871150284238,13.8330356586661,15.8096321719344,20.3563468559061,26.8395221557722,33.8898797100898,30.2188278135278
Ethiopia,ETH,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,82.073,82.085,82.082,82.067,82.046,82.019,81.923,81.826,81.729,81.632,81.534,81.435,81.337,81.238,79.608,77.984,76.368,74.758,73.16,71.573,69.391,68.253,68.472,68.459
Ethiopia,ETH,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,38.61,..,..,..,49.9000015258789,47.49,..,54.9799995422363,..,..,..,54.83,..,71.8114782360977,..,..,71.7900009155273,..,..,79.0500030517578,..,79.6678826947671,84.6900024414062,..
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.9193096160889,15.1177673339844,15.333233833313,15.5438537597656,15.7585906982422,15.982967376709,16.2148475646973,16.0948330261902,16.7936706542969,17.1511001586914,17.4937839508057,17.863790512085,18.2061367034912,18.615514755249,19.0262870788574,19.451566696167,19.8763618469238,20.3084850311279,20.7838096618652,21.2486705780029,21.6260051727295,22.1067085266113,22.7367687225342,23.0586471557617
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,3.06823302462214,3.03351132311934,3.04403477269573,3.02102233073437,2.99474712931538,2.96602247201649,2.93729031507005,2.93015925736888,2.89435688963486,2.83966010377931,2.83517457968806,2.84354457485296,2.80390393439601,2.71847231803133,2.68299781796922,2.68480186138776,2.70788250761242,2.72524097063889,2.69675179524869,2.69123978261516,2.71077284780816,2.67249538803955,2.62269500936104,2.6036241976442
"Somalia, Fed. Rep.",SOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.678,18.665,18.658,18.648,18.653,18.671,18.705,18.687,18.714,18.724,18.741,18.761,18.771,18.655,18.595,18.495,18.611,18.455,18.7,18.828,19.414,19.662,19.112,18.96
"Somalia, Fed. Rep.",SOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.11031431133236,7.1103143114324,7.63026729331047,7.63026729332455,7.11031431125608,7.1103143113146,6.48637073273908,6.69435192552552,6.69435192582009,6.69435192556188,6.69435192550543,6.69435192567755,6.69435192556698,10.9592986164311,8.97800590574617,10.4621881235147,7.03487260042162,14.7357956045195,2.05431507261069,2.80033312513012,-2.76455696202532,3.44719850031242,2.71821202053759,4.17524257571303
"Somalia, Fed. Rep.",SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,386.119274401275,244.914842538455,229.598918310039,286.273025198975,375.410326225387,439.979907805478,457.996662206659,479.635628065289,507.03744334738,246.513251675105,219.202453852397,235.325945610434,350.261946720512,393.398703952979,429.431656725102,445.583080073396,460.928490585175,510.939952317726,509.497273804534,539.954816211694,518.16113333875,549.056994756254,573.141165798229,596.885985135589
"Somalia, Fed. Rep.",SOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
