Country Name,Country Code,Year,GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Population growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population)
Djibouti,DJI,2022,5.16653702854374,3133.25779772463,5.17222088647606,31.789,1.40352932560807,26.272,72.6109938538856
Djibouti,DJI,2023,6.80733529403308,3381.29779710722,1.44905087029086,31.775,1.38410272350128,26.074,72.8408245988921
Ethiopia,ETH,2000,6.07321748125295,122.269202606069,0.662458109266482,82.073,3.06823302462214,3.499,14.9193096160889
Ethiopia,ETH,2001,8.30130632267965,118.457204255261,-8.23784453391137,82.085,3.03351132311934,3.16,15.1177673339844
Ethiopia,ETH,2002,1.51472570667433,109.593813612988,0.675089102170801,82.082,3.04403477269573,3.054,15.333233833313
Ethiopia,ETH,2003,-2.16135972256865,116.800491132777,13.6740452028272,82.067,3.02102233073437,3.008,15.5438537597656
Ethiopia,ETH,2004,13.5726031401471,133.169812538096,3.32737047894847,82.046,2.99474712931538,2.776,15.7585906982422
Ethiopia,ETH,2005,11.8187659491625,158.243458082465,9.96997123512892,82.019,2.96602247201649,2.497,15.982967376709
Ethiopia,ETH,2006,10.8347270679373,189.345737521418,12.2994763114825,81.923,2.93729031507005,2.337,16.2148475646973
Ethiopia,ETH,2007,11.4561670019891,237.146255996319,17.2404008340898,81.826,2.93015925736888,2.337,16.0948330261902
Ethiopia,ETH,2008,10.7885216870332,316.410475118075,44.3566858766952,81.729,2.89435688963486,2.326,16.7936706542969
Ethiopia,ETH,2009,8.8025531990487,368.574712267445,8.48364404530282,81.632,2.83966010377931,2.326,17.1511001586914
Ethiopia,ETH,2010,12.5505383347633,330.619412798644,8.14926402965082,81.534,2.83517457968806,2.295,17.4937839508057
Ethiopia,ETH,2011,11.1782962297008,343.024942351887,33.2499598823344,81.435,2.84354457485296,2.27,17.863790512085
Ethiopia,ETH,2012,8.64781163513926,452.101031885754,23.600417677317,81.337,2.80390393439601,2.252,18.2061367034912
Ethiopia,ETH,2013,10.5822700502552,484.039833104062,7.46402192944517,81.238,2.71847231803133,2.251,18.615514755249
Ethiopia,ETH,2014,10.2574929627477,549.986577082588,6.89001951597192,79.608,2.68299781796922,2.361,19.0262870788574
Ethiopia,ETH,2015,10.3924630141307,597.912113218663,9.56889955968623,77.984,2.68480186138776,2.442,19.451566696167
Ethiopia,ETH,2016,9.43348265981905,641.651523286233,6.62813337230924,76.368,2.70788250761242,2.556,19.8763618469238
Ethiopia,ETH,2017,9.56418965754014,696.348429076216,10.6871150284238,74.758,2.72524097063889,2.665,20.3084850311279
